grdc_no,lat,long,area,altitude,
1104150,36.02,0.27,43750,2,
1104200,35.5,0.68,6635,205,
1104300,35.87,1.12,2398,140,
1104450,36.67,2.82,1912,10,
1104480,36.65,3.42,829,60,
1104500,36.62,3.58,4149,90,
1104530,36.8,3.87,2501,20,
1104600,36.42,4.6,4309,220,
1104700,36.23,6.3,1220,710,
1104800,36.45,7.72,552,95,
1107700,35.15,-1.45,7245,60,
1107800,35.07,-1.22,1118,287,
1112100,14.45,-11.28,157400,20,
1112110,14.49434,-11.2024,25000,-999,
1112200,13.23,-11.38,15000,-999,
1112300,13.83,-11.13,127000,69,
1112320,13.36,-9.23,84400,-999,
1112330,13.5724,-9.8854,58000,-999,
1112340,13.45,-9.88,16000,-999,
1112350,13.14,-10.48,33000,-999,
1112400,12.31,-11.23,9300,-999,
1112480,12.15,-10.2,15500,-999,
1112500,12.33,-10.16,21700,-999,
1134020,11.15,-8.55,23300,-999,
1134030,11.6833,-8.6667,71750,329,
1134040,11.97,-8.23,35300,-999,
1134050,11.58,-8.17,34200,-999,
1134060,11.13,-8.2,4100,-999,
1134080,10.8,-7.67,7900,-999,
1134100,12.8667,-7.55,120000,290,
1134110,11.4,-7.45,15700,-999,
1134150,11.07,-6.85,3050,-999,
1134200,12.52,-6.8,32500,-999,
1134220,11.42,-6.57,31800,-999,
1134250,13.7167,-6.05,137000,274,
1134300,13.2167,-5.9,101600,270,
1134310,12.02,-5.68,14300,-999,
1134320,12.02,-5.68,-999,-999,
1134350,11.68,-5.58,3685,-999,
1134400,13.95,-5.37,141000,-999,
1134420,14.17,-5.02,-999,-999,
1134450,13.38,-4.92,116000,-999,
1134460,14.15,-4.98,143300,-999,
1134480,14.02,-4.25,129000,-999,
1134500,14.53,-4.22,281600,260,
1134505,14.53,-4.22,-999,-999,
1134600,15.4,-4.23,-999,-999,
1134620,16.42,-3.65,-999,-999,
1134630,16.13,-3.75,-999,-999,
1134650,15.82,-3.7,-999,-999,
1134700,16.2667,-3.3833,340000,256,
1134705,16.13,-3.22,-999,-999,
1134730,16.6666,-3.0333,342000,256,
1134850,16.93,-0.58,348000,-999,
1134900,15.6667,0.5,566000,242,
1147010,-4.3,15.3,3475000,-999,
1147011,-0.35,25.45,948500,413.62,
1147012,-2.95,25.916666,810440,419.86,
